Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude
Agua Canyon,907,Utah,SNOTEL,Kane,8900,37.52217,-112.27118
Alkali Mesa,2138,Utah,SCAN,San Juan,6445,37.67455,-109.36429
Alta Central,11J61,Utah,Snow Course/Aerial Marker,Salt Lake,8800,40.59117,-111.63794
Atwater,1308,Utah,SNOTEL,Salt Lake,8753,40.59124,-111.63775
Bear River RS,992,Utah,SNOTEL,Summit,8777,40.8852,-110.8277
Beaver Dams,329,Utah,SNOTEL,Sanpete,7990,39.13683,-111.55813
Beaver Divide,330,Utah,SNOTEL,Summit,8280,40.61233,-111.09782
Ben Lomond Peak,332,Utah,SNOTEL,Weber,7689,41.37603,-111.94405
Ben Lomond Trail,333,Utah,SNOTEL,Weber,5972,41.38291,-111.92103
Bevans Cabin,1214,Utah,SNOTEL,Tooele,6520,40.46182,-112.25233
Big Flat,339,Utah,SNOTEL,Beaver,10349,38.30183,-112.35672
Big Sand Wash Reservoir,09UTBSWR,Utah,Reservoir,Duchesne,5885,40.30006,-110.22139
Birch Crossing,12M16,Utah,Snow Course/Aerial Marker,Iron,8045,37.74482,-112.83893
Black Flat-U.M. Ck,348,Utah,SNOTEL,Sevier,9414,38.6799,-111.59765
Blacks Fork Jct,1162,Utah,SNOTEL,Summit,8869,40.95814,-110.5828
Blue Creek,2135,Utah,SCAN,Box Elder,5179,41.93531,-112.4336
Bobs Hollow,1278,Utah,SNOTEL,Millard,9319,38.94569,-112.15349
Box Creek,364,Utah,SNOTEL,Sevier,9853,38.50809,-112.01856
Box Springs,1156,Utah,SNOTEL,Piute,9228,38.49746,-112.00779
Brian Head,1154,Utah,SNOTEL,Iron,10039,37.67994,-112.85674
Brighton,366,Utah,SNOTEL,Salt Lake,8766,40.59936,-111.58167
Brighton Cabin,11J58,Utah,Snow Course/Aerial Marker,Salt Lake,8700,40.6013,-111.58374
Brown Duck,368,Utah,SNOTEL,Duchesne,10574,40.58102,-110.58587
Bryce Canyon,12M08,Utah,Snow Course/Aerial Marker,Garfield,8000,37.63453,-112.16986
Buck Flat,371,Utah,SNOTEL,Sanpete,9409,39.134,-111.43722
Buck Pasture,1192,Utah,SNOTEL,Summit,9632,40.84456,-110.66068
Buckboard Flat,09M01,Utah,Snow Course/Aerial Marker,San Juan,8998,37.86943,-109.44717
Buckboard Flat,1153,Utah,SNOTEL,San Juan,8924,37.86943,-109.44717
Buffalo Jump,2151,Utah,SCAN,Rich,6682,41.34363,-111.18798
Bug Lake,374,Utah,SNOTEL,Rich,7987,41.68541,-111.41987
Burts Miller Ranch,1135,Utah,SNOTEL,Summit,8000,40.98492,-110.85075
Cache Junction,2136,Utah,SCAN,Cache,4425,41.81568,-111.98043
Camp Jackson,383,Utah,SNOTEL,San Juan,8858,37.81333,-109.48723
Cascade Mountain,1039,Utah,SNOTEL,Utah,7774,40.283,-111.60992
Castle Valley,390,Utah,SNOTEL,Iron,9607,37.66098,-112.74093
Causey Reservoir,10137290,Utah,Reservoir,Weber,5700,41.29827,-111.58692
Cave Valley,2161,Utah,SCAN,Washington,6273,37.35524,-113.12341
Chalk Creek #1,392,Utah,SNOTEL,Summit,9171,40.85464,-111.04765
Chalk Creek #2,393,Utah,SNOTEL,Summit,8208,40.88529,-111.06954
Chepeta,396,Utah,SNOTEL,Duchesne,10499,40.77458,-110.0105
Chicken Ridge,2150,Utah,SCAN,Morgan,7649,41.33136,-111.3036
Circleville,2125,Utah,SCAN,Piute,6120,38.15133,-112.25122
Clayton Springs,983,Utah,SNOTEL,Garfield,10049,37.9725,-111.83355
Clear Creek #1,399,Utah,SNOTEL,Utah,8975,39.86671,-111.28363
Clear Creek #2,400,Utah,SNOTEL,Utah,7837,39.89275,-111.25154
Cleveland Lake,09UTCLEV,Utah,Reservoir,Emery,8812,39.57758,-111.23896
Corral,1236,Utah,SNOTEL,Carbon,8207,39.65795,-110.37906
Currant Creek,432,Utah,SNOTEL,Wasatch,7915,40.35747,-111.08993
Currant Creek Reservoir,09UTCURR,Utah,Reservoir,Wasatch,7678,40.333,-111.05274
Daniels-Strawberry,435,Utah,SNOTEL,Wasatch,8008,40.2953,-111.25677
Deer Creek Reservoir,09UT06JJ,Utah,Reservoir,Wasatch,5420,40.4084,-111.5287
Dills Camp,444,Utah,SNOTEL,Sanpete,9228,39.04554,-111.46875
Donkey Reservoir,452,Utah,SNOTEL,Wayne,9799,38.2084,-111.47412
Dry Bread Pond,455,Utah,SNOTEL,Cache,8302,41.41289,-111.5377
Dry Fork,906,Utah,SNOTEL,Salt Lake,7093,40.56533,-112.17343
Dugway,2167,Utah,SCAN,Tooele,4314,40.16591,-113.02007
EF Blacks Fork GS,1163,Utah,SNOTEL,Summit,9360,40.88472,-110.54056
East Canyon Reservoir,10134000,Utah,Reservoir,Morgan,5700,40.92065,-111.60089
East Willow Creek,461,Utah,SNOTEL,Grand,8302,39.31213,-109.53179
Eastland,2130,Utah,SCAN,San Juan,6837,37.77853,-109.17193
Echo Reservoir,10131500,Utah,Reservoir,Summit,5580,40.96373,-111.4324
Enterprise,2128,Utah,SCAN,Iron,5250,37.63343,-113.64324
Ephraim,2126,Utah,SCAN,Sanpete,5531,39.36798,-111.57803
Farmington,474,Utah,SNOTEL,Davis,7902,40.97462,-111.80975
Farmington Lower,1054,Utah,SNOTEL,Davis,6779,40.992,-111.81702
Farnsworth Lake,475,Utah,SNOTEL,Sevier,9623,38.77246,-111.67662
Fish Lake,11L03,Utah,Snow Course/Aerial Marker,Sevier,8818,38.50515,-111.76745
Fish Lake Utah,1149,Utah,SNOTEL,Sevier,8798,38.50455,-111.76693
Five Points Lake,481,Utah,SNOTEL,Duchesne,10943,40.71785,-110.46721
Flaming Gorge Reservoir,9234400,Utah,Reservoir,Daggett,6050,40.91504,-109.42239
G.B.R.C. Meadows,11K10,Utah,Snow Course/Aerial Marker,Sanpete,9780,39.3019,-111.45277
