Name,Latitude,Longitude,County
Alpine city,40.46,-111.77,1
Alta town,40.58,-111.62,2
Altamont town,40.36,-110.29,3
Alton town,37.43,-112.51,4
Amalga town,41.86,-111.9,5
American Fork city,40.38,-111.79,1
Aneth,37.21,-109.16,1
Annabella town,38.71,-112.06,7
Antimony town,38.1,-111.98,8
Apple Valley town,37.08,-113.11,9
Aurora city,38.92,-111.93,7
Avon,41.54,-111.81,7
Ballard town,40.3,-109.95,10
Bear River City city,41.61,-112.12,11
Beaver city,38.27,-112.64,12
Benjamin,40.09,-111.74,12
Benson,41.75,-111.92,12
Beryl Junction,37.7,-113.65,12
Bicknell town,38.34,-111.54,13
Big Water town,37.07,-111.66,4
Blanding city,37.62,-109.51,14
Bluebell,40.36,-110.22,14
Bluff,37.29,-109.57,14
Bluffdale city,40.48,-111.94,2
Bonanza,40.03,-109.19,2
Boulder town,37.92,-111.43,8
Bountiful city,40.87,-111.86,15
Brian Head town,37.7,-112.84,16
Brigham City city,41.5,-112.04,11
Bryce Canyon City town,37.68,-112.16,8
Cache,41.83,-112.01,8
Cannonville town,37.58,-112.06,8
Carbonville,39.63,-110.83,8
Castle Dale city,39.22,-111.02,17
Castle Valley town,38.63,-109.4,18
Cedar City city,37.68,-113.09,16
Cedar Fort town,40.34,-112.11,1
Cedar Hills city,40.41,-111.75,1
Centerfield town,39.13,-111.82,19
Centerville city,40.93,-111.88,15
Central,37.41,-113.63,15
Central Valley town,38.7,-112.1,7
Charleston town,40.47,-111.46,20
Circleville town,38.17,-112.27,21
Clarkston town,41.92,-112.05,5
Clawson town,39.14,-111.1,17
Clear Creek,39.64,-111.15,17
Clearfield city,41.1,-112.02,15
Cleveland town,39.35,-110.86,17
Clinton city,41.14,-112.07,15
Coalville city,40.92,-111.39,22
Copperton,40.56,-112.09,2
Corinne city,41.55,-112.12,11
Cornish town,41.97,-111.95,5
Cottonwood Heights city,40.62,-111.82,2
Cove,41.97,-111.78,2
Dammeron Valley,37.3,-113.67,2
Daniel town,40.47,-111.41,20
Delta city,39.35,-112.57,23
Deseret,39.29,-112.65,23
